mention_id,product_id,influencer_id,influencer_handle,influencer_name,platform,post_url,content_text,media_url,content_type,likes,comments,shares,views,influencer_skin_tone,influencer_skin_type,influencer_undertone,follower_count,engagement_rate,audience_demographics,is_sponsored,is_affiliate,posted_at,ingested_at
3b8a5a51-2afc-451f-8c3c-461000a7c5e5,98af7c8e-93d5-4978-9f33-1deeec5dcb36,521d7a12-34fe-4f6f-aa98-b79b9405aea9,@beauty_influencer_12,Michelle Makeup,tiktok,https://tiktok.com/influencer/363cc1f1-41f,Trying out the new Fenty Beauty Ultra Lipgloss from Fenty Beauty! Full review coming soon! 💕,https://tiktok.com/media/78713aeb-976.jpg,review,24698,626,827,120340,Deep,Normal,Neutral,939007,3.82,"{""age_18_24"": 0.35, ""age_25_34"": 0.4, ""female"": 0.85}",False,True,2025-11-12 03:45:34,2025-12-05 06:36:34
647b2253-6b2d-4a82-b48c-7fcf74c2cc0a,a05e042a-2756-43ce-b1ec-ee8b4842576c,9ae69ff9-7139-44c3-8eac-3084cab4a240,@beauty_influencer_79,Ashley Beauty,youtube,https://youtube.com/influencer/b92cd249-181,Trying out the new Milk Makeup Matte Lipstick from Milk Makeup! Full review coming soon! 💕,https://youtube.com/media/1919f5fe-9ec.jpg,video,262855,3926,59,226736,Light,Dry,Warm,627802,7.76,"{""age_18_24"": 0.35, ""age_25_34"": 0.4, ""female"": 0.85}",False,True,2025-12-10 03:18:34,2025-11-27 19:24:34
a79dc109-e26c-4a0e-ac2c-73f0969bf827,9006dbcc-aef0-4e95-91d3-5e7d031a2f1e,0fcc5324-40a2-48c5-8268-79730206fbec,@beauty_influencer_34,Emma Glam,instagram,https://instagram.com/influencer/a20b9691-e07,Trying out the new Pat McGrath Labs Glow Lipgloss from Pat McGrath Labs! Full review coming soon! 💕,https://instagram.com/media/8834b369-d07.jpg,video,102141,4753,296,574402,Deep,Combination,Neutral,2785033,6.52,"{""age_18_24"": 0.35, ""age_25_34"": 0.4, ""female"": 0.85}",True,True,2025-12-19 15:41:34,2025-12-18 15:40:34
979a9905-7b4d-43f0-b1d8-3b7dfcf1be8d,a743a03f-85ee-4007-8838-96c6ea372fcc,caff2856-0354-42a7-96fe-2abc0dd066a1,@beauty_influencer_30,Michelle Makeup,instagram,https://instagram.com/influencer/72325c56-b26,Trying out the new L'Oreal Pro Lip Balm from L'Oreal! Full review coming soon! 💕,https://instagram.com/media/556c5a4d-726.jpg,reel,149652,1836,203,926799,Deep,Combination,Cool,1594635,8.87,"{""age_18_24"": 0.35, ""age_25_34"": 0.4, ""female"": 0.85}",False,False,2025-10-24 14:59:34,2025-11-27 02:57:34
77082dc1-d586-4b48-ac86-98ba4cebdf98,ced0af79-9a1e-403e-8996-5aaec26d3c42,5b155710-76d2-41e5-9457-2f6119cd76cb,@beauty_influencer_47,Sarah Beauty,tiktok,https://tiktok.com/influencer/9480b6fc-218,Trying out the new Benefit Radiant Lipstick from Benefit! Full review coming soon! 💕,https://tiktok.com/media/99568dfa-ecc.jpg,reel,42084,1617,193,470212,Medium,Combination,Cool,3760692,8.8,"{""age_18_24"": 0.35, ""age_25_34"": 0.4, ""female"": 0.85}",False,True,2025-11-11 14:35:34,2025-11-21 16:50:34
ef8b94da-de48-477c-be0e-5d748e9b086e,766486e0-463b-47bf-a5e9-e537b250923a,cdf986e9-a1bd-4618-a82e-cabb0f8afe75,@beauty_influencer_23,Jessica Makeup,instagram,https://instagram.com/influencer/72e6aaa0-6e4,Trying out the new Pat McGrath Labs Glow Lipgloss from Pat McGrath Labs! Full review coming soon! 💕,https://instagram.com/media/059096fc-6ec.jpg,story,10404,4010,357,527549,Tan,Normal,Cool,1585728,4.23,"{""age_18_24"": 0.35, ""age_25_34"": 0.4, ""female"": 0.85}",True,True,2025-12-15 22:47:34,2025-12-12 15:12:34
aec73499-139f-45b5-83a4-491a7edd4b31,5cf1aeba-a260-422d-b87d-743ebc253546,9a436b2b-6ac7-4dd5-bd40-00982b055df0,@beauty_influencer_80,Sarah Glam,instagram,https://instagram.com/influencer/34e675bd-b97,Trying out the new Rare Beauty Classic Lip Liner from Rare Beauty! Full review coming soon! 💕,https://instagram.com/media/450e487a-6d5.jpg,post,357248,3292,652,237694,Light,Dry,Warm,884561,3.6,"{""age_18_24"": 0.35, ""age_25_34"": 0.4, ""female"": 0.85}",False,False,2025-11-20 00:23:34,2025-11-24 00:02:34
a8ec393e-2f4f-4b8e-932e-4c7e3ba2f603,876f01f0-729a-4d16-844f-e8f67d5de83b,7e1e33fc-505c-4ccd-8661-6739ec6d23ff,@beauty_influencer_77,Emma Makeup,tiktok,https://tiktok.com/influencer/0213388a-e67,Trying out the new Rare Beauty Classic Lip Liner from Rare Beauty! Full review coming soon! 💕,https://tiktok.com/media/a6ee8264-ccf.jpg,story,56545,4323,556,569938,Tan,Dry,Cool,1182998,2.42,"{""age_18_24"": 0.35, ""age_25_34"": 0.4, ""female"": 0.85}",False,True,2025-11-04 00:32:34,2025-12-09 14:07:34
b982bf88-5bfe-4fed-97be-fcc97a114201,06969ac8-ba6d-41a2-a4fb-3dde31d3155a,65c33c08-718a-4b6e-be3e-eadb588296a9,@beauty_influencer_23,Sarah Glam,instagram,https://instagram.com/influencer/b3ae1f06-411,Trying out the new Fenty Beauty Perfect Lipstick from Fenty Beauty! Full review coming soon! 💕,https://instagram.com/media/a8fc8a42-160.jpg,reel,454693,4803,792,906266,Tan,Oily,Cool,2081722,8.79,"{""age_18_24"": 0.35, ""age_25_34"": 0.4, ""female"": 0.85}",True,False,2025-10-30 21:26:34,2025-12-10 16:23:34
bc0afab9-ba05-49e1-bbff-052f0861c0ba,88283f3d-b420-43e9-a58b-fb59c3b9651f,93ba4ba6-f00c-4581-b9a0-6cdeb332cb53,@beauty_influencer_77,Emma Makeup,tiktok,https://tiktok.com/influencer/656a7e3d-c7d,Trying out the new Drunk Elephant Perfect Lip Balm from Drunk Elephant! Full review coming soon! 💕,https://tiktok.com/media/93d233c0-f00.jpg,review,399533,1946,38,325149,Deep,Dry,Warm,2223138,4.33,"{""age_18_24"": 0.35, ""age_25_34"": 0.4, ""female"": 0.85}",False,True,2025-10-22 16:03:34,2025-12-09 01:53:34
